date,day_of_week,hour,interval,channel,skill_group,calls_received,avg_handle_time,agents_available,holiday,sla_achieved
2026-01-01,Thursday,2,02:00-03:00,Email,Billing,1,559,1,1,92.88
2026-01-01,Thursday,2,02:00-03:00,Email,Technical,0,557,1,1,88.35
2026-01-01,Thursday,2,02:00-03:00,Email,Sales,1,644,1,1,89.75
2026-01-01,Thursday,2,02:00-03:00,Email,General,0,532,1,1,93.24
2026-01-01,Thursday,3,03:00-04:00,Voice,Billing,1,258,1,1,94.64
2026-01-01,Thursday,3,03:00-04:00,Voice,Technical,5,292,1,1,94.93
2026-01-01,Thursday,3,03:00-04:00,Voice,Sales,0,267,1,1,91.33
2026-01-01,Thursday,3,03:00-04:00,Voice,General,0,321,1,1,94.22
2026-01-01,Thursday,3,03:00-04:00,Chat,Billing,3,497,1,1,89.22
2026-01-01,Thursday,3,03:00-04:00,Chat,Technical,4,426,1,1,88.57
2026-01-01,Thursday,3,03:00-04:00,Chat,Sales,4,490,1,1,92.91
2026-01-01,Thursday,3,03:00-04:00,Chat,General,2,461,1,1,95.41
2026-01-01,Thursday,3,03:00-04:00,Email,Billing,3,553,1,1,90.54
2026-01-01,Thursday,3,03:00-04:00,Email,Technical,1,604,1,1,87.16
2026-01-01,Thursday,3,03:00-04:00,Email,Sales,0,546,1,1,96.68
2026-01-01,Thursday,3,03:00-04:00,Email,General,0,607,1,1,92.65
2026-01-01,Thursday,4,04:00-05:00,Voice,Billing,1,340,1,1,92.05
2026-01-01,Thursday,4,04:00-05:00,Voice,Technical,0,313,1,1,94.56
2026-01-01,Thursday,4,04:00-05:00,Voice,Sales,1,315,1,1,88.4
2026-01-01,Thursday,4,04:00-05:00,Voice,General,0,289,1,1,87.16
2026-01-01,Thursday,4,04:00-05:00,Chat,Billing,1,466,2,1,88.02
2026-01-01,Thursday,4,04:00-05:00,Chat,Technical,0,532,2,1,89.88
2026-01-01,Thursday,4,04:00-05:00,Chat,Sales,0,439,2,1,91.94
2026-01-01,Thursday,4,04:00-05:00,Chat,General,0,408,1,1,88.26
2026-01-01,Thursday,4,04:00-05:00,Email,Billing,0,692,2,1,91.61
2026-01-01,Thursday,4,04:00-05:00,Email,Technical,0,572,2,1,92.03
2026-01-01,Thursday,4,04:00-05:00,Email,Sales,0,587,1,1,93.94
2026-01-01,Thursday,4,04:00-05:00,Email,General,0,607,2,1,88.29
2026-01-01,Thursday,5,05:00-06:00,Voice,Billing,2,308,1,1,91.38
2026-01-01,Thursday,5,05:00-06:00,Voice,Technical,1,285,1,1,94.55
2026-01-01,Thursday,5,05:00-06:00,Voice,Sales,0,328,2,1,93.09
2026-01-01,Thursday,5,05:00-06:00,Voice,General,1,317,1,1,89.87
2026-01-01,Thursday,5,05:00-06:00,Chat,Billing,2,507,1,1,93.64
2026-01-01,Thursday,5,05:00-06:00,Chat,Technical,3,440,2,1,92.06
2026-01-01,Thursday,5,05:00-06:00,Chat,Sales,2,437,1,1,97.74
2026-01-01,Thursday,5,05:00-06:00,Chat,General,0,497,1,1,88.36
2026-01-01,Thursday,5,05:00-06:00,Email,Billing,1,637,1,1,91.96
2026-01-01,Thursday,5,05:00-06:00,Email,Technical,0,546,1,1,97.31
2026-01-01,Thursday,5,05:00-06:00,Email,Sales,1,636,2,1,90.7
2026-01-01,Thursday,5,05:00-06:00,Email,General,1,612,2,1,90.57
2026-01-01,Thursday,6,06:00-07:00,Voice,Billing,3,309,2,1,94.57
2026-01-01,Thursday,6,06:00-07:00,Voice,Technical,2,295,1,1,91.86
2026-01-01,Thursday,6,06:00-07:00,Voice,Sales,1,338,1,1,93.48
2026-01-01,Thursday,6,06:00-07:00,Voice,General,1,302,1,1,93.37
2026-01-01,Thursday,6,06:00-07:00,Chat,Billing,1,453,1,1,93.42
2026-01-01,Thursday,6,06:00-07:00,Chat,Technical,4,452,1,1,92.55
2026-01-01,Thursday,6,06:00-07:00,Chat,Sales,0,445,1,1,87.64
2026-01-01,Thursday,6,06:00-07:00,Chat,General,0,485,1,1,90.42
2026-01-01,Thursday,6,06:00-07:00,Email,Billing,1,620,2,1,94.85
2026-01-01,Thursday,6,06:00-07:00,Email,Technical,1,565,1,1,97.49
2026-01-01,Thursday,6,06:00-07:00,Email,Sales,2,595,1,1,92.89
2026-01-01,Thursday,6,06:00-07:00,Email,General,0,534,1,1,95.71
2026-01-01,Thursday,7,07:00-08:00,Voice,Billing,0,300,1,1,90.65
2026-01-01,Thursday,7,07:00-08:00,Voice,Technical,1,318,1,1,93.54
2026-01-01,Thursday,7,07:00-08:00,Voice,Sales,1,253,2,1,93.0
2026-01-01,Thursday,7,07:00-08:00,Voice,General,2,277,1,1,95.46
2026-01-01,Thursday,7,07:00-08:00,Chat,Billing,2,479,2,1,89.11
2026-01-01,Thursday,7,07:00-08:00,Chat,Technical,0,480,1,1,96.33
2026-01-01,Thursday,7,07:00-08:00,Chat,Sales,2,517,1,1,96.89
2026-01-01,Thursday,7,07:00-08:00,Chat,General,2,387,1,1,94.39
2026-01-01,Thursday,7,07:00-08:00,Email,Billing,0,623,1,1,85.8
2026-01-01,Thursday,7,07:00-08:00,Email,Technical,1,594,1,1,89.18
2026-01-01,Thursday,7,07:00-08:00,Email,Sales,0,644,1,1,98.17
2026-01-01,Thursday,7,07:00-08:00,Email,General,0,580,1,1,89.62
2026-01-01,Thursday,8,08:00-09:00,Voice,Billing,2,256,1,1,92.17
2026-01-01,Thursday,8,08:00-09:00,Voice,Technical,7,231,1,1,90.14
2026-01-01,Thursday,8,08:00-09:00,Voice,Sales,6,349,1,1,93.73
2026-01-01,Thursday,8,08:00-09:00,Voice,General,2,309,2,1,84.63
2026-01-01,Thursday,8,08:00-09:00,Chat,Billing,2,420,1,1,97.06
2026-01-01,Thursday,8,08:00-09:00,Chat,Technical,5,489,1,1,91.43
2026-01-01,Thursday,8,08:00-09:00,Chat,Sales,4,451,1,1,90.92
2026-01-01,Thursday,8,08:00-09:00,Chat,General,1,439,1,1,90.76
2026-01-01,Thursday,8,08:00-09:00,Email,Billing,1,449,1,1,93.17
2026-01-01,Thursday,8,08:00-09:00,Email,Technical,3,594,1,1,92.62
2026-01-01,Thursday,8,08:00-09:00,Email,Sales,3,566,1,1,92.84
2026-01-01,Thursday,8,08:00-09:00,Email,General,0,435,1,1,89.29
2026-01-01,Thursday,9,09:00-10:00,Voice,Billing,5,274,1,1,95.02
2026-01-01,Thursday,9,09:00-10:00,Voice,Technical,8,282,1,1,96.32
2026-01-01,Thursday,9,09:00-10:00,Voice,Sales,10,314,2,1,91.64
2026-01-01,Thursday,9,09:00-10:00,Voice,General,3,303,1,1,95.1
2026-01-01,Thursday,9,09:00-10:00,Chat,Billing,6,365,1,1,92.06
2026-01-01,Thursday,9,09:00-10:00,Chat,Technical,9,525,1,1,90.75
2026-01-01,Thursday,9,09:00-10:00,Chat,Sales,6,517,1,1,90.96
2026-01-01,Thursday,9,09:00-10:00,Chat,General,3,487,2,1,90.67
2026-01-01,Thursday,9,09:00-10:00,Email,Billing,1,657,1,1,96.16
2026-01-01,Thursday,9,09:00-10:00,Email,Technical,3,660,1,1,94.51
2026-01-01,Thursday,9,09:00-10:00,Email,Sales,3,610,3,1,91.39
2026-01-01,Thursday,9,09:00-10:00,Email,General,6,602,2,1,96.04
2026-01-01,Thursday,10,10:00-11:00,Voice,Billing,13,295,1,1,88.96
2026-01-01,Thursday,10,10:00-11:00,Voice,Technical,13,250,1,1,88.11
2026-01-01,Thursday,10,10:00-11:00,Voice,Sales,13,292,1,1,91.26
2026-01-01,Thursday,10,10:00-11:00,Voice,General,6,291,1,1,93.55
2026-01-01,Thursday,10,10:00-11:00,Chat,Billing,5,419,1,1,89.65
2026-01-01,Thursday,10,10:00-11:00,Chat,Technical,6,480,1,1,96.51
2026-01-01,Thursday,10,10:00-11:00,Chat,Sales,8,487,1,1,90.91
2026-01-01,Thursday,10,10:00-11:00,Chat,General,3,446,1,1,89.82
2026-01-01,Thursday,10,10:00-11:00,Email,Billing,1,605,1,1,93.5
2026-01-01,Thursday,10,10:00-11:00,Email,Technical,3,536,1,1,92.76
2026-01-01,Thursday,10,10:00-11:00,Email,Sales,5,499,2,1,88.28
2026-01-01,Thursday,10,10:00-11:00,Email,General,2,551,1,1,97.26
2026-01-01,Thursday,11,11:00-12:00,Voice,Billing,11,309,1,1,87.96
2026-01-01,Thursday,11,11:00-12:00,Voice,Technical,11,322,1,1,89.06
2026-01-01,Thursday,11,11:00-12:00,Voice,Sales,10,330,1,1,92.77
2026-01-01,Thursday,11,11:00-12:00,Voice,General,7,329,1,1,89.82
2026-01-01,Thursday,11,11:00-12:00,Chat,Billing,4,510,1,1,93.72
2026-01-01,Thursday,11,11:00-12:00,Chat,Technical,10,371,1,1,92.54
2026-01-01,Thursday,11,11:00-12:00,Chat,Sales,4,565,1,1,95.45
2026-01-01,Thursday,11,11:00-12:00,Chat,General,1,418,1,1,97.31
2026-01-01,Thursday,11,11:00-12:00,Email,Billing,6,494,2,1,88.04
2026-01-01,Thursday,11,11:00-12:00,Email,Technical,12,586,2,1,92.62
2026-01-01,Thursday,11,11:00-12:00,Email,Sales,3,535,2,1,91.88
2026-01-01,Thursday,11,11:00-12:00,Email,General,4,640,1,1,93.5
2026-01-01,Thursday,12,12:00-13:00,Voice,Billing,6,343,1,1,95.1
2026-01-01,Thursday,12,12:00-13:00,Voice,Technical,22,255,1,1,95.2
2026-01-01,Thursday,12,12:00-13:00,Voice,Sales,21,284,2,1,98.9
2026-01-01,Thursday,12,12:00-13:00,Voice,General,9,289,1,1,89.7
2026-01-01,Thursday,12,12:00-13:00,Chat,Billing,1,448,1,1,96.65
2026-01-01,Thursday,12,12:00-13:00,Chat,Technical,14,405,1,1,91.36
2026-01-01,Thursday,12,12:00-13:00,Chat,Sales,11,421,1,1,90.09
2026-01-01,Thursday,12,12:00-13:00,Chat,General,6,503,1,1,95.15
2026-01-01,Thursday,12,12:00-13:00,Email,Billing,3,741,1,1,89.48
2026-01-01,Thursday,12,12:00-13:00,Email,Technical,9,609,1,1,88.23
2026-01-01,Thursday,12,12:00-13:00,Email,Sales,4,568,1,1,91.95
2026-01-01,Thursday,12,12:00-13:00,Email,General,5,671,1,1,90.92
2026-01-01,Thursday,13,13:00-14:00,Voice,Billing,15,336,1,1,93.11
2026-01-01,Thursday,13,13:00-14:00,Voice,Technical,21,288,2,1,92.14
2026-01-01,Thursday,13,13:00-14:00,Voice,Sales,15,319,3,1,91.08
2026-01-01,Thursday,13,13:00-14:00,Voice,General,9,306,2,1,88.92
2026-01-01,Thursday,13,13:00-14:00,Chat,Billing,4,466,1,1,91.61
2026-01-01,Thursday,13,13:00-14:00,Chat,Technical,10,358,1,1,91.47
2026-01-01,Thursday,13,13:00-14:00,Chat,Sales,9,444,1,1,88.32
2026-01-01,Thursday,13,13:00-14:00,Chat,General,5,524,1,1,91.31
2026-01-01,Thursday,13,13:00-14:00,Email,Billing,7,627,1,1,89.17
2026-01-01,Thursday,13,13:00-14:00,Email,Technical,5,619,1,1,89.73
2026-01-01,Thursday,13,13:00-14:00,Email,Sales,3,504,1,1,90.1
2026-01-01,Thursday,13,13:00-14:00,Email,General,1,659,1,1,89.94
2026-01-01,Thursday,14,14:00-15:00,Voice,Billing,8,299,1,1,96.51
2026-01-01,Thursday,14,14:00-15:00,Voice,Technical,16,326,1,1,85.87
2026-01-01,Thursday,14,14:00-15:00,Voice,Sales,7,269,1,1,97.39
2026-01-01,Thursday,14,14:00-15:00,Voice,General,6,319,2,1,93.07
2026-01-01,Thursday,14,14:00-15:00,Chat,Billing,9,468,3,1,90.89
2026-01-01,Thursday,14,14:00-15:00,Chat,Technical,4,459,1,1,90.41
2026-01-01,Thursday,14,14:00-15:00,Chat,Sales,11,499,1,1,94.8
2026-01-01,Thursday,14,14:00-15:00,Chat,General,4,489,1,1,95.14
2026-01-01,Thursday,14,14:00-15:00,Email,Billing,6,648,1,1,93.6
2026-01-01,Thursday,14,14:00-15:00,Email,Technical,6,524,1,1,95.52
2026-01-01,Thursday,14,14:00-15:00,Email,Sales,6,622,1,1,94.42
2026-01-01,Thursday,14,14:00-15:00,Email,General,2,525,1,1,93.43
2026-01-01,Thursday,15,15:00-16:00,Voice,Billing,6,319,1,1,89.48
2026-01-01,Thursday,15,15:00-16:00,Voice,Technical,9,315,1,1,95.67
2026-01-01,Thursday,15,15:00-16:00,Voice,Sales,11,310,2,1,91.09
2026-01-01,Thursday,15,15:00-16:00,Voice,General,2,311,1,1,92.16
2026-01-01,Thursday,15,15:00-16:00,Chat,Billing,2,441,1,1,90.23
2026-01-01,Thursday,15,15:00-16:00,Chat,Technical,7,450,1,1,100.0
2026-01-01,Thursday,15,15:00-16:00,Chat,Sales,4,477,1,1,90.13
2026-01-01,Thursday,15,15:00-16:00,Chat,General,7,536,1,1,95.15
2026-01-01,Thursday,15,15:00-16:00,Email,Billing,0,611,1,1,88.77
2026-01-01,Thursday,15,15:00-16:00,Email,Technical,6,640,1,1,92.99
2026-01-01,Thursday,15,15:00-16:00,Email,Sales,11,590,2,1,91.48
2026-01-01,Thursday,15,15:00-16:00,Email,General,2,600,1,1,96.66
2026-01-01,Thursday,16,16:00-17:00,Voice,Billing,4,349,2,1,89.94
2026-01-01,Thursday,16,16:00-17:00,Voice,Technical,9,367,1,1,98.87
2026-01-01,Thursday,16,16:00-17:00,Voice,Sales,8,292,1,1,91.43
2026-01-01,Thursday,16,16:00-17:00,Voice,General,3,316,1,1,90.15
2026-01-01,Thursday,16,16:00-17:00,Chat,Billing,5,443,1,1,89.09
2026-01-01,Thursday,16,16:00-17:00,Chat,Technical,9,474,1,1,92.42
2026-01-01,Thursday,16,16:00-17:00,Chat,Sales,9,483,1,1,94.41
2026-01-01,Thursday,16,16:00-17:00,Chat,General,2,424,1,1,98.44
2026-01-01,Thursday,16,16:00-17:00,Email,Billing,2,578,1,1,95.67
2026-01-01,Thursday,16,16:00-17:00,Email,Technical,6,697,1,1,96.92
2026-01-01,Thursday,16,16:00-17:00,Email,Sales,4,618,1,1,87.13
2026-01-01,Thursday,16,16:00-17:00,Email,General,0,633,1,1,88.96
2026-01-01,Thursday,17,17:00-18:00,Voice,Billing,2,277,1,1,90.13
2026-01-01,Thursday,17,17:00-18:00,Voice,Technical,12,321,1,1,92.23
2026-01-01,Thursday,17,17:00-18:00,Voice,Sales,4,347,1,1,95.94
2026-01-01,Thursday,17,17:00-18:00,Voice,General,4,263,2,1,92.43
2026-01-01,Thursday,17,17:00-18:00,Chat,Billing,2,426,1,1,93.51
2026-01-01,Thursday,17,17:00-18:00,Chat,Technical,2,476,1,1,88.01
2026-01-01,Thursday,17,17:00-18:00,Chat,Sales,3,400,1,1,93.17
2026-01-01,Thursday,17,17:00-18:00,Chat,General,4,562,1,1,95.5
2026-01-01,Thursday,17,17:00-18:00,Email,Billing,4,589,1,1,93.61
2026-01-01,Thursday,17,17:00-18:00,Email,Technical,4,546,3,1,91.1
2026-01-01,Thursday,17,17:00-18:00,Email,Sales,2,536,1,1,90.17
2026-01-01,Thursday,17,17:00-18:00,Email,General,0,588,1,1,92.16
2026-01-01,Thursday,18,18:00-19:00,Voice,Billing,1,271,1,1,88.37
2026-01-01,Thursday,18,18:00-19:00,Voice,Technical,2,317,1,1,91.81
2026-01-01,Thursday,18,18:00-19:00,Voice,Sales,1,283,1,1,90.9
2026-01-01,Thursday,18,18:00-19:00,Voice,General,0,278,1,1,92.51
2026-01-01,Thursday,18,18:00-19:00,Chat,Billing,2,380,1,1,93.5
2026-01-01,Thursday,18,18:00-19:00,Chat,Technical,1,552,1,1,94.97
2026-01-01,Thursday,18,18:00-19:00,Chat,Sales,0,397,1,1,93.62
2026-01-01,Thursday,18,18:00-19:00,Chat,General,1,484,1,1,84.23
2026-01-01,Thursday,18,18:00-19:00,Email,Billing,0,651,1,1,92.33
2026-01-01,Thursday,18,18:00-19:00,Email,Technical,0,532,1,1,93.74
2026-01-01,Thursday,18,18:00-19:00,Email,Sales,0,482,3,1,88.42
2026-01-01,Thursday,18,18:00-19:00,Email,General,0,597,1,1,97.14
2026-01-01,Thursday,19,19:00-20:00,Voice,Billing,1,308,1,1,95.43
2026-01-01,Thursday,19,19:00-20:00,Voice,Technical,1,266,1,1,94.76
2026-01-01,Thursday,19,19:00-20:00,Voice,Sales,4,300,1,1,93.38
2026-01-01,Thursday,19,19:00-20:00,Voice,General,1,279,1,1,92.55
2026-01-01,Thursday,19,19:00-20:00,Chat,Billing,0,413,2,1,89.06
2026-01-01,Thursday,19,19:00-20:00,Chat,Technical,2,390,2,1,94.16
2026-01-01,Thursday,19,19:00-20:00,Chat,Sales,0,477,2,1,88.24
2026-01-01,Thursday,19,19:00-20:00,Chat,General,0,427,2,1,93.67
2026-01-01,Thursday,19,19:00-20:00,Email,Billing,1,561,1,1,92.17
2026-01-01,Thursday,19,19:00-20:00,Email,Technical,1,616,1,1,95.22
2026-01-01,Thursday,19,19:00-20:00,Email,Sales,0,633,1,1,90.22
2026-01-01,Thursday,19,19:00-20:00,Email,General,0,523,3,1,88.69
2026-01-01,Thursday,20,20:00-21:00,Voice,Billing,1,306,1,1,87.98
2026-01-01,Thursday,20,20:00-21:00,Voice,Technical,9,327,1,1,93.51
2026-01-01,Thursday,20,20:00-21:00,Voice,Sales,3,297,1,1,94.44
2026-01-01,Thursday,20,20:00-21:00,Voice,General,1,317,1,1,94.17
2026-01-01,Thursday,20,20:00-21:00,Chat,Billing,2,475,1,1,94.26
2026-01-01,Thursday,20,20:00-21:00,Chat,Technical,2,467,1,1,91.94
2026-01-01,Thursday,20,20:00-21:00,Chat,Sales,3,507,1,1,92.78
2026-01-01,Thursday,20,20:00-21:00,Chat,General,2,386,2,1,90.17
2026-01-01,Thursday,20,20:00-21:00,Email,Billing,1,552,1,1,91.64
2026-01-01,Thursday,20,20:00-21:00,Email,Technical,1,625,1,1,90.88
2026-01-01,Thursday,20,20:00-21:00,Email,Sales,2,635,1,1,86.9
2026-01-01,Thursday,20,20:00-21:00,Email,General,0,687,1,1,95.79
2026-01-01,Thursday,21,21:00-22:00,Voice,Billing,0,283,3,1,90.31
2026-01-01,Thursday,21,21:00-22:00,Voice,Technical,6,305,1,1,95.94
2026-01-01,Thursday,21,21:00-22:00,Voice,Sales,1,333,1,1,94.84
2026-01-01,Thursday,21,21:00-22:00,Voice,General,1,320,1,1,89.34
2026-01-01,Thursday,21,21:00-22:00,Chat,Billing,1,471,1,1,92.57
2026-01-01,Thursday,21,21:00-22:00,Chat,Technical,3,475,2,1,91.09
2026-01-01,Thursday,21,21:00-22:00,Chat,Sales,2,428,1,1,92.42
2026-01-01,Thursday,21,21:00-22:00,Chat,General,0,370,2,1,91.42
2026-01-01,Thursday,21,21:00-22:00,Email,Billing,1,588,2,1,88.67
2026-01-01,Thursday,21,21:00-22:00,Email,Technical,0,596,1,1,97.32
2026-01-01,Thursday,21,21:00-22:00,Email,Sales,1,563,1,1,89.0
2026-01-01,Thursday,21,21:00-22:00,Email,General,1,618,1,1,91.39
2026-01-01,Thursday,22,22:00-23:00,Voice,Billing,0,293,1,1,94.74
2026-01-01,Thursday,22,22:00-23:00,Voice,Technical,2,275,1,1,91.96
2026-01-01,Thursday,22,22:00-23:00,Voice,Sales,0,227,1,1,94.21
2026-01-01,Thursday,22,22:00-23:00,Voice,General,0,291,1,1,92.26
2026-01-01,Thursday,22,22:00-23:00,Chat,Billing,2,379,1,1,94.38
2026-01-01,Thursday,22,22:00-23:00,Chat,Technical,0,393,1,1,99.24
2026-01-01,Thursday,22,22:00-23:00,Chat,Sales,2,416,1,1,92.6
2026-01-01,Thursday,22,22:00-23:00,Chat,General,0,501,1,1,92.46
2026-01-01,Thursday,22,22:00-23:00,Email,Billing,1,595,1,1,88.2
2026-01-01,Thursday,22,22:00-23:00,Email,Technical,3,596,2,1,88.9
2026-01-01,Thursday,22,22:00-23:00,Email,Sales,0,601,1,1,91.45
2026-01-01,Thursday,22,22:00-23:00,Email,General,0,682,1,1,93.81
2026-01-01,Thursday,23,23:00-00:00,Voice,Billing,0,334,1,1,87.66
2026-01-01,Thursday,23,23:00-00:00,Voice,Technical,3,302,1,1,91.9
2026-01-01,Thursday,23,23:00-00:00,Voice,Sales,1,298,1,1,92.25
2026-01-01,Thursday,23,23:00-00:00,Voice,General,1,326,2,1,93.52
2026-01-01,Thursday,23,23:00-00:00,Chat,Billing,0,455,1,1,94.76
2026-01-01,Thursday,23,23:00-00:00,Chat,Technical,2,419,1,1,91.42
2026-01-01,Thursday,23,23:00-00:00,Chat,Sales,1,494,1,1,94.5
2026-01-01,Thursday,23,23:00-00:00,Chat,General,1,430,1,1,90.45
2026-01-01,Thursday,23,23:00-00:00,Email,Billing,1,588,1,1,89.79
2026-01-01,Thursday,23,23:00-00:00,Email,Technical,2,612,1,1,93.36
2026-01-01,Thursday,23,23:00-00:00,Email,Sales,2,528,1,1,92.1
2026-01-01,Thursday,23,23:00-00:00,Email,General,0,583,1,1,92.98
2026-01-02,Friday,0,00:00-01:00,Voice,Billing,4,269,2,0,95.95
2026-01-02,Friday,0,00:00-01:00,Voice,Technical,5,296,1,0,93.64
2026-01-02,Friday,0,00:00-01:00,Voice,Sales,1,288,1,0,96.85
2026-01-02,Friday,0,00:00-01:00,Voice,General,2,290,1,0,95.68
2026-01-02,Friday,0,00:00-01:00,Chat,Billing,2,396,2,0,90.61
2026-01-02,Friday,0,00:00-01:00,Chat,Technical,2,459,1,0,94.33
2026-01-02,Friday,0,00:00-01:00,Chat,Sales,3,496,1,0,94.17
2026-01-02,Friday,0,00:00-01:00,Chat,General,1,480,1,0,93.95
2026-01-02,Friday,0,00:00-01:00,Email,Billing,1,497,1,0,92.42
2026-01-02,Friday,0,00:00-01:00,Email,Technical,2,666,1,0,91.73
2026-01-02,Friday,0,00:00-01:00,Email,Sales,2,573,1,0,92.59
2026-01-02,Friday,0,00:00-01:00,Email,General,1,619,1,0,90.42
2026-01-02,Friday,1,01:00-02:00,Voice,Billing,4,243,1,0,87.18
2026-01-02,Friday,1,01:00-02:00,Voice,Technical,7,323,1,0,90.05
2026-01-02,Friday,1,01:00-02:00,Voice,Sales,5,310,2,0,92.8
2026-01-02,Friday,1,01:00-02:00,Voice,General,5,319,2,0,90.94
2026-01-02,Friday,1,01:00-02:00,Chat,Billing,4,523,1,0,92.23
2026-01-02,Friday,1,01:00-02:00,Chat,Technical,2,377,1,0,92.43
2026-01-02,Friday,1,01:00-02:00,Chat,Sales,4,416,1,0,90.16
2026-01-02,Friday,1,01:00-02:00,Chat,General,0,448,1,0,85.8
2026-01-02,Friday,1,01:00-02:00,Email,Billing,0,509,1,0,92.25
2026-01-02,Friday,1,01:00-02:00,Email,Technical,0,512,2,0,90.27
2026-01-02,Friday,1,01:00-02:00,Email,Sales,2,590,1,0,92.64
2026-01-02,Friday,1,01:00-02:00,Email,General,0,554,1,0,85.51
2026-01-02,Friday,2,02:00-03:00,Voice,Billing,7,308,1,0,87.26
2026-01-02,Friday,2,02:00-03:00,Voice,Technical,15,326,1,0,92.44
2026-01-02,Friday,2,02:00-03:00,Voice,Sales,7,293,1,0,91.61
2026-01-02,Friday,2,02:00-03:00,Voice,General,5,302,1,0,92.06
2026-01-02,Friday,2,02:00-03:00,Chat,Billing,7,398,1,0,91.9
2026-01-02,Friday,2,02:00-03:00,Chat,Technical,4,440,1,0,94.2
2026-01-02,Friday,2,02:00-03:00,Chat,Sales,11,368,1,0,86.49
2026-01-02,Friday,2,02:00-03:00,Chat,General,4,502,1,0,91.36
2026-01-02,Friday,2,02:00-03:00,Email,Billing,2,602,1,0,87.76
2026-01-02,Friday,2,02:00-03:00,Email,Technical,3,672,1,0,95.82
2026-01-02,Friday,2,02:00-03:00,Email,Sales,4,571,1,0,93.64
2026-01-02,Friday,2,02:00-03:00,Email,General,1,600,1,0,90.89
2026-01-02,Friday,3,03:00-04:00,Voice,Billing,0,292,2,0,93.68
2026-01-02,Friday,3,03:00-04:00,Voice,Technical,7,291,1,0,93.34
2026-01-02,Friday,3,03:00-04:00,Voice,Sales,3,351,3,0,93.91
2026-01-02,Friday,3,03:00-04:00,Voice,General,2,315,1,0,89.4
2026-01-02,Friday,3,03:00-04:00,Chat,Billing,3,442,1,0,91.38
2026-01-02,Friday,3,03:00-04:00,Chat,Technical,6,555,1,0,91.68
2026-01-02,Friday,3,03:00-04:00,Chat,Sales,2,461,2,0,90.91
2026-01-02,Friday,3,03:00-04:00,Chat,General,1,462,1,0,88.48
2026-01-02,Friday,3,03:00-04:00,Email,Billing,3,513,1,0,93.92
2026-01-02,Friday,3,03:00-04:00,Email,Technical,2,556,2,0,92.67
2026-01-02,Friday,3,03:00-04:00,Email,Sales,4,669,1,0,91.59
2026-01-02,Friday,3,03:00-04:00,Email,General,1,660,2,0,91.28
2026-01-02,Friday,4,04:00-05:00,Voice,Billing,5,328,1,0,94.18
2026-01-02,Friday,4,04:00-05:00,Voice,Technical,11,315,1,0,91.57
