date,day_of_week,hour,absolute_hour,interval,required_agents,scheduled_agents,shortfall,excess_agents,coverage_ratio,status
2026-07-04,4,19,115,19:00-20:00,8,11,0,3,1.38,PASS
2026-07-04,4,20,116,20:00-21:00,8,12,0,4,1.5,PASS
2026-07-04,4,21,117,21:00-22:00,8,10,0,2,1.25,PASS
2026-07-04,4,22,118,22:00-23:00,8,9,0,1,1.12,PASS
2026-07-04,4,23,119,23:00-00:00,8,8,0,0,1.0,PASS
2026-07-05,5,0,120,00:00-01:00,8,6,2,0,0.75,FAIL
2026-07-05,5,1,121,01:00-02:00,8,5,3,0,0.62,FAIL
2026-07-05,5,2,122,02:00-03:00,9,4,5,0,0.44,FAIL
2026-07-05,5,3,123,03:00-04:00,9,4,5,0,0.44,FAIL
2026-07-05,5,4,124,04:00-05:00,8,8,0,0,1.0,PASS
2026-07-05,5,5,125,05:00-06:00,8,7,1,0,0.88,FAIL
2026-07-05,5,6,126,06:00-07:00,8,7,1,0,0.88,FAIL
2026-07-05,5,7,127,07:00-08:00,8,8,0,0,1.0,PASS
2026-07-05,5,8,128,08:00-09:00,15,7,8,0,0.47,FAIL
2026-07-05,5,9,129,09:00-10:00,18,12,6,0,0.67,FAIL
2026-07-05,5,10,130,10:00-11:00,22,11,11,0,0.5,FAIL
2026-07-05,5,11,131,11:00-12:00,21,12,9,0,0.57,FAIL
2026-07-05,5,12,132,12:00-13:00,22,10,12,0,0.45,FAIL
2026-07-05,5,13,133,13:00-14:00,23,8,15,0,0.35,FAIL
2026-07-05,5,14,134,14:00-15:00,23,12,11,0,0.52,FAIL
2026-07-05,5,15,135,15:00-16:00,19,10,9,0,0.53,FAIL
2026-07-05,5,16,136,16:00-17:00,18,13,5,0,0.72,FAIL
2026-07-05,5,17,137,17:00-18:00,15,9,6,0,0.6,FAIL
2026-07-05,5,18,138,18:00-19:00,8,7,1,0,0.88,FAIL
2026-07-05,5,19,139,19:00-20:00,8,8,0,0,1.0,PASS
2026-07-05,5,20,140,20:00-21:00,8,5,3,0,0.62,FAIL
2026-07-05,5,21,141,21:00-22:00,8,7,1,0,0.88,FAIL
2026-07-05,5,22,142,22:00-23:00,8,7,1,0,0.88,FAIL
2026-07-05,5,23,143,23:00-00:00,8,7,1,0,0.88,FAIL
2026-07-06,6,0,144,00:00-01:00,10,9,1,0,0.9,FAIL
2026-07-06,6,1,145,01:00-02:00,10,10,0,0,1.0,PASS
2026-07-06,6,2,146,02:00-03:00,11,9,2,0,0.82,FAIL
2026-07-06,6,3,147,03:00-04:00,11,10,1,0,0.91,FAIL
2026-07-06,6,4,148,04:00-05:00,11,11,0,0,1.0,PASS
2026-07-06,6,5,149,05:00-06:00,11,12,0,1,1.09,PASS
2026-07-06,6,6,150,06:00-07:00,11,14,0,3,1.27,PASS
2026-07-06,6,7,151,07:00-08:00,11,14,0,3,1.27,PASS
2026-07-06,6,8,152,08:00-09:00,26,21,5,0,0.81,FAIL
2026-07-06,6,9,153,09:00-10:00,29,25,4,0,0.86,FAIL
2026-07-06,6,10,154,10:00-11:00,32,28,4,0,0.88,FAIL
2026-07-06,6,11,155,11:00-12:00,36,30,6,0,0.83,FAIL
2026-07-06,6,12,156,12:00-13:00,40,24,16,0,0.6,FAIL
2026-07-06,6,13,157,13:00-14:00,39,24,15,0,0.62,FAIL
2026-07-06,6,14,158,14:00-15:00,40,25,15,0,0.62,FAIL
2026-07-06,6,15,159,15:00-16:00,37,29,8,0,0.78,FAIL
2026-07-06,6,16,160,16:00-17:00,31,28,3,0,0.9,FAIL
2026-07-06,6,17,161,17:00-18:00,25,25,0,0,1.0,PASS
2026-07-06,6,18,162,18:00-19:00,12,17,0,5,1.42,PASS
2026-07-06,6,19,163,19:00-20:00,11,12,0,1,1.09,PASS
2026-07-06,6,20,164,20:00-21:00,11,12,0,1,1.09,PASS
2026-07-06,6,21,165,21:00-22:00,13,13,0,0,1.0,PASS
2026-07-06,6,22,166,22:00-23:00,11,11,0,0,1.0,PASS
2026-07-06,6,23,167,23:00-00:00,13,13,0,0,1.0,PASS
