date,day_of_week,hour,absolute_hour,interval,calls,required_agents,scheduled_agents,cost
2026-07-05,5,14,134,14:00-15:00,151.79000000000005,23,12,54031.49999999998
2026-07-05,5,15,135,15:00-16:00,120.36999999999999,19,10,54031.49999999998
2026-07-05,5,16,136,16:00-17:00,103.71,18,13,54031.49999999998
2026-07-05,5,17,137,17:00-18:00,74.05999999999999,15,9,54031.49999999998
2026-07-05,5,18,138,18:00-19:00,25.650000000000002,8,7,54031.49999999998
2026-07-05,5,19,139,19:00-20:00,24.74,8,8,54031.49999999998
2026-07-05,5,20,140,20:00-21:00,24.229999999999997,8,5,54031.49999999998
2026-07-05,5,21,141,21:00-22:00,24.249999999999996,8,7,54031.49999999998
2026-07-05,5,22,142,22:00-23:00,26.42,8,7,54031.49999999998
2026-07-05,5,23,143,23:00-00:00,25.730000000000004,8,7,54031.49999999998
2026-07-06,6,0,144,00:00-01:00,39.2,10,9,54031.49999999998
2026-07-06,6,1,145,01:00-02:00,48.440000000000005,10,10,54031.49999999998
2026-07-06,6,2,146,02:00-03:00,47.63,11,9,54031.49999999998
2026-07-06,6,3,147,03:00-04:00,40.19,11,10,54031.49999999998
2026-07-06,6,4,148,04:00-05:00,39.68000000000001,11,11,54031.49999999998
2026-07-06,6,5,149,05:00-06:00,42.290000000000006,11,12,54031.49999999998
2026-07-06,6,6,150,06:00-07:00,43.1,11,14,54031.49999999998
2026-07-06,6,7,151,07:00-08:00,40.57,11,14,54031.49999999998
2026-07-06,6,8,152,08:00-09:00,181.66,26,21,54031.49999999998
2026-07-06,6,9,153,09:00-10:00,220.25,29,25,54031.49999999998
2026-07-06,6,10,154,10:00-11:00,257.18,32,28,54031.49999999998
2026-07-06,6,11,155,11:00-12:00,288.71000000000004,36,30,54031.49999999998
2026-07-06,6,12,156,12:00-13:00,312.24000000000007,40,24,54031.49999999998
2026-07-06,6,13,157,13:00-14:00,320.2,39,24,54031.49999999998
2026-07-06,6,14,158,14:00-15:00,318.62000000000006,40,25,54031.49999999998
2026-07-06,6,15,159,15:00-16:00,286.05,37,29,54031.49999999998
2026-07-06,6,16,160,16:00-17:00,231.6,31,28,54031.49999999998
2026-07-06,6,17,161,17:00-18:00,175.28,25,25,54031.49999999998
2026-07-06,6,18,162,18:00-19:00,63.88999999999999,12,17,54031.49999999998
2026-07-06,6,19,163,19:00-20:00,47.74999999999999,11,12,54031.49999999998
2026-07-06,6,20,164,20:00-21:00,47.90999999999999,11,12,54031.49999999998
2026-07-06,6,21,165,21:00-22:00,64.42,13,13,54031.49999999998
2026-07-06,6,22,166,22:00-23:00,48.46,11,11,54031.49999999998
2026-07-06,6,23,167,23:00-00:00,62.83,13,13,54031.49999999998
